GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,OverdueNotificationCreator,0,11,0,0,0,2,0,2,0,2
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,BookBuilder,0,90,4,10,0,22,4,8,0,5
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,BookPrototypeCache,3,82,0,2,1,15,1,4,1,3
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,ReservationReadyNotificationCreator,0,11,0,0,0,2,0,2,0,2
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,DatabaseConnection,9,58,3,5,3,21,5,7,2,6
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,NotificationCreator,10,3,0,0,4,1,1,1,1,1
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,FineReminderNotificationCreator,0,11,0,0,0,2,0,2,0,2
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,UserFactory,3,31,0,3,1,4,1,3,1,1
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,MemberAccountFactory,0,19,0,0,0,3,0,3,0,3
SmartLibraryManagementSystem,za.ac.cput.creational_patterns,LibrarianAccountFactory,8,11,0,0,1,2,1,2,1,2
SmartLibraryManagementSystem,za.ac.cput.factories,DatabaseBookRepository,30,8,0,0,6,2,6,2,6,2
SmartLibraryManagementSystem,za.ac.cput.factories,RepositoryFactory,3,23,0,3,1,4,1,3,1,1
SmartLibraryManagementSystem,za.ac.cput,SmartLibraryApplication,8,0,0,0,3,0,2,0,2,0
SmartLibraryManagementSystem,za.ac.cput,RepositoryConfig,23,0,0,0,6,0,6,0,6,0
SmartLibraryManagementSystem,za.ac.cput.services,BookService,10,108,2,8,2,23,4,12,2,9
SmartLibraryManagementSystem,za.ac.cput.services,LoanService,48,147,1,7,8,32,4,12,3,9
SmartLibraryManagementSystem,za.ac.cput.services,MemberService,49,104,2,6,8,25,8,10,6,8
SmartLibraryManagementSystem,za.ac.cput.domain,Loan,56,74,5,1,14,23,10,7,7,7
SmartLibraryManagementSystem,za.ac.cput.domain,Reservation,51,30,2,0,16,11,7,4,6,4
SmartLibraryManagementSystem,za.ac.cput.domain,Notification,49,27,0,0,18,10,8,3,8,3
SmartLibraryManagementSystem,za.ac.cput.domain,Book,16,98,2,4,5,29,5,16,3,15
SmartLibraryManagementSystem,za.ac.cput.domain,Member,69,42,4,0,21,12,14,5,12,5
SmartLibraryManagementSystem,za.ac.cput.domain,UserAccount,34,24,0,0,10,9,8,4,8,4
SmartLibraryManagementSystem,za.ac.cput.domain,Fine,34,27,0,0,11,10,6,4,6,4
SmartLibraryManagementSystem,za.ac.cput.domain,Librarian,30,13,0,0,12,4,7,1,7,1
SmartLibraryManagementSystem,za.ac.cput.repositories.inmemory,InMemoryFineRepository,24,45,0,0,4,10,3,6,3,6
SmartLibraryManagementSystem,za.ac.cput.repositories.inmemory,InMemoryReservationRepository,24,62,0,0,4,13,3,8,3,8
SmartLibraryManagementSystem,za.ac.cput.repositories.inmemory,InMemoryLoanRepository,41,69,4,0,7,14,6,9,4,9
SmartLibraryManagementSystem,za.ac.cput.repositories.inmemory,InMemoryMemberRepository,0,66,0,0,0,14,0,9,0,9
SmartLibraryManagementSystem,za.ac.cput.repositories.inmemory,InMemoryBookRepository,0,85,0,2,0,17,0,12,0,11
SmartLibraryManagementSystem,za.ac.cput.api,LoanController,89,0,0,0,21,0,8,0,8,0
SmartLibraryManagementSystem,za.ac.cput.api,MemberController,117,0,0,0,28,0,8,0,8,0
SmartLibraryManagementSystem,za.ac.cput.api,BookController,108,0,0,0,25,0,9,0,9,0
